Subgroup	Difficulty	Title	Slug	Source	Link
Graph Representation	Easy	DFS Traversal		naukri	https://www.naukri.com/code360/problems/dfs-traversal_630462
Graph Representation	Easy	Find if Path Exists in Graph	find-if-path-exists-in-graph	leetcode	https://leetcode.com/problems/find-if-path-exists-in-graph/description/
Graph Representation	Medium	Keys and Rooms	keys-and-rooms	leetcode	https://leetcode.com/problems/keys-and-rooms/description/
Graph Representation	Medium	Number of Provinces	number-of-provinces	leetcode	https://leetcode.com/problems/number-of-provinces/description/
Graph Representation	Medium	Count the Number of Complete Components	count-the-number-of-complete-components	leetcode	https://leetcode.com/problems/count-the-number-of-complete-components/description/
Graph Representation	Medium	Reorder Routes to Make All Paths Lead to the City Zero	reorder-routes-to-make-all-paths-lead-to-the-city-zero	leetcode	https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/description/
Graph Representation	Hard	Longest Cycle in a Graph	longest-cycle-in-a-graph	leetcode	https://leetcode.com/problems/longest-cycle-in-a-graph/description/
Graph Representation	Easy	BFS in Graph		naukri	https://www.naukri.com/code360/problems/bfs-in-graph_973002
Graph Representation	Medium	Snakes and Ladders	snakes-and-ladders	leetcode	https://leetcode.com/problems/snakes-and-ladders/description/
Graph Representation	Medium	Open the Lock	open-the-lock	leetcode	https://leetcode.com/problems/open-the-lock/description/
Graph Representation	Medium	Round Trip 		cses	https://cses.fi/problemset/task/1667
Graph Representation	Hard	Word Ladder	word-ladder	leetcode	https://leetcode.com/problems/word-ladder/description/
Graph Representation	Hard	Valid BFS?		codeforces	https://codeforces.com/problemset/problem/1037/D
Graph Representation	Medium	Count the Number of Houses at a Certain Distance I	count-the-number-of-houses-at-a-certain-distance-i	leetcode	https://leetcode.com/problems/count-the-number-of-houses-at-a-certain-distance-i/description/
Graph Representation	Medium	As Far from Land as Possible	as-far-from-land-as-possible	leetcode	https://leetcode.com/problems/as-far-from-land-as-possible/description/
Graph Representation	Medium	Minimum Operations to Convert Number	minimum-operations-to-convert-number	leetcode	https://leetcode.com/problems/minimum-operations-to-convert-number/description/
Graph Representation	Medium	Minimum Score of a Path Between Two Cities	minimum-score-of-a-path-between-two-cities	leetcode	https://leetcode.com/problems/minimum-score-of-a-path-between-two-cities/description/
Graph Representation	Medium	Shortest Path with Alternating Colors	shortest-path-with-alternating-colors	leetcode	https://leetcode.com/problems/shortest-path-with-alternating-colors/description/
Graph Representation	Medium	Minimum Number of Operations to Make X and Y Equal	minimum-number-of-operations-to-make-x-and-y-equal	leetcode	https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal/description/
Graph Representation	Hard	Shortest Path Visiting All Nodes	shortest-path-visiting-all-nodes	leetcode	https://leetcode.com/problems/shortest-path-visiting-all-nodes/description/
Graph Representation	Medium	Jump Game III	jump-game-iii	leetcode	https://leetcode.com/problems/jump-game-iii/description/
Graph Representation	Medium	Clone Graph	clone-graph	leetcode	https://leetcode.com/problems/clone-graph/description/
Graph Representation	Hard	Last Day Where You Can Still Cross	last-day-where-you-can-still-cross	leetcode	https://leetcode.com/problems/last-day-where-you-can-still-cross/description/
Graph Representation	Hard	Sliding Puzzle	sliding-puzzle	leetcode	https://leetcode.com/problems/sliding-puzzle/description/
Graph Representation	Hard	Maximum Candies You Can Get from Boxes	maximum-candies-you-can-get-from-boxes	leetcode	https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes/description/ 
Graph Representation	Hard	Shortest Path to Get All Keys	shortest-path-to-get-all-keys	leetcode	https://leetcode.com/problems/shortest-path-to-get-all-keys/description/
Graph Representation	Hard	Jump Game IV	jump-game-iv	leetcode	https://leetcode.com/problems/jump-game-iv/description/
Graph Representation	Hard	Word Ladder II	word-ladder-ii	leetcode	https://leetcode.com/problems/word-ladder-ii/description/
Graph Representation	Hard	Escape the Spreading Fire	escape-the-spreading-fire	leetcode	https://leetcode.com/problems/escape-the-spreading-fire/
Cycle Detection 	Medium	Detect Cycle in an Undirected Graph (GeeksforGeeks)		gfg	https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/0
Cycle Detection 	Medium	Detect Cycle in a Directed Graph (GeeksforGeeks)		gfg	https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1
Cycle Detection 	Medium	Check if a Graph Has a Cycle of Odd Length		naukri	https://www.naukri.com/code360/library/check-if-a-graph-has-a-cycle-of-odd-length
Cycle Detection 	Medium	Detect Cycles in 2D Grid	detect-cycles-in-2d-grid	leetcode	https://leetcode.com/problems/detect-cycles-in-2d-grid/
Cycle Detection 	Hard	Shortest Cycle in a Graph	shortest-cycle-in-a-graph	leetcode	https://leetcode.com/problems/shortest-cycle-in-a-graph/description/
Cycle Detection 	Medium	Is Graph Bipartite?	is-graph-bipartite	leetcode	https://leetcode.com/problems/is-graph-bipartite/
Cycle Detection 	Medium	Possible Bipartition	possible-bipartition	leetcode	https://leetcode.com/problems/possible-bipartition/description/
Cycle Detection 	Medium	Flower Planting With No Adjacent	flower-planting-with-no-adjacent	leetcode	https://leetcode.com/problems/flower-planting-with-no-adjacent/description/
Cycle Detection 	Hard	Divide Nodes into the Maximum Number of Groups	divide-nodes-into-the-maximum-number-of-groups	leetcode	https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups/description/
Topological Sort	Medium	Course Schedule	course-schedule	leetcode	https://leetcode.com/problems/course-schedule
Topological Sort	Medium	Course Schedule II	course-schedule-ii	leetcode	https://leetcode.com/problems/course-schedule-ii
Topological Sort	Medium	Find Eventual Safe States	find-eventual-safe-states	leetcode	https://leetcode.com/problems/find-eventual-safe-states/description/
Topological Sort	Medium	Minimum Height Trees	minimum-height-trees	leetcode	https://leetcode.com/problems/minimum-height-trees
Topological Sort	Medium	Loud and Rich	loud-and-rich	leetcode	https://leetcode.com/problems/loud-and-rich
Topological Sort	Medium	All Ancestors of a Node in a Directed Acyclic Graph	all-ancestors-of-a-node-in-a-directed-acyclic-graph	leetcode	https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/description/
Topological Sort	Hard	Find All Possible Recipes from Given Supplies	find-all-possible-recipes-from-given-supplies	leetcode	https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies
Topological Sort	Hard	Alien Dictionary 		gfg	https://www.geeksforgeeks.org/problems/alien-dictionary/1
Topological Sort	Hard	Longest Increasing Path in a Matrix	longest-increasing-path-in-a-matrix	leetcode	https://leetcode.com/problems/longest-increasing-path-in-a-matrix
Topological Sort	Hard	Cat and Mouse	cat-and-mouse	leetcode	https://leetcode.com/problems/cat-and-mouse/description/
Topological Sort	Hard	Sort Items by Groups Respecting Dependencies	sort-items-by-groups-respecting-dependencies	leetcode	https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/description/
Topological Sort	Hard	Sort Items by Groups Respecting Dependencies	sort-items-by-groups-respecting-dependencies	leetcode	https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/description/
Topological Sort	Hard	Largest Color Value in a Directed Graph	largest-color-value-in-a-directed-graph	leetcode	https://leetcode.com/problems/largest-color-value-in-a-directed-graph/description/
Topological Sort	Hard	Parallel Courses III	parallel-courses-iii	leetcode	https://leetcode.com/problems/parallel-courses-iii
Topological Sort	Hard	Parallel Courses II	parallel-courses-ii	leetcode	https://leetcode.com/problems/parallel-courses-ii/
Topological Sort	Hard	Number of Increasing Paths in a Grid	number-of-increasing-paths-in-a-grid	leetcode	https://leetcode.com/problems/number-of-increasing-paths-in-a-grid
Topological Sort	Hard	Build a Matrix With Conditions	build-a-matrix-with-conditions	leetcode	https://leetcode.com/problems/build-a-matrix-with-conditions
Flood Fill	Easy	Flood Fill	flood-fill	leetcode	https://leetcode.com/problems/flood-fill/description/
Flood Fill	Easy	Island Perimeter	island-perimeter	leetcode	https://leetcode.com/problems/island-perimeter/description/
Flood Fill	Medium	Battleships in a Board	battleships-in-a-board	leetcode	https://leetcode.com/problems/battleships-in-a-board/description/
Flood Fill	Medium	Number of Islands	number-of-islands	leetcode	https://leetcode.com/problems/number-of-islands/description/
