Difficulty	Title	Slug	Source	Link
	Introduction	arrays-introduction	algomaster	https://algomaster.io/learn/dsa/arrays-introduction
Easy	Move Zeroes	move-zeroes	algomaster	https://algomaster.io/learn/dsa/move-zeroes
Easy	Remove Element	remove-element	algomaster	https://algomaster.io/learn/dsa/remove-element
Easy	Shuffle the Array	shuffle-the-array	algomaster	https://algomaster.io/learn/dsa/shuffle-the-array
Easy	Remove Duplicates from Sorted Array	remove-duplicates-from-sorted-array	algomaster	https://algomaster.io/learn/dsa/remove-duplicates-from-sorted-array
Medium	Remove Duplicates from Sorted Array II	remove-duplicates-from-sorted-array-ii	algomaster	https://algomaster.io/learn/dsa/remove-duplicates-from-sorted-array-ii
Medium	Rotate Array	rotate-array	algomaster	https://algomaster.io/learn/dsa/rotate-array
Easy	Max Consecutive Ones	max-consecutive-ones	algomaster	https://algomaster.io/learn/dsa/max-consecutive-ones
Easy	Third Maximum Number	third-maximum-number	algomaster	https://algomaster.io/learn/dsa/third-maximum-number
Easy	Missing Ranges	missing-ranges	algomaster	https://algomaster.io/learn/dsa/missing-ranges
Easy	Majority Element	majority-element	algomaster	https://algomaster.io/learn/dsa/majority-element
Medium	Majority Element II	majority-element-ii	algomaster	https://algomaster.io/learn/dsa/majority-element-ii
Easy	Best Time to Buy and Sell Stock	best-time-to-buy-and-sell-stock	algomaster	https://algomaster.io/learn/dsa/best-time-to-buy-and-sell-stock
Medium	Best Time to Buy and Sell Stock II	best-time-to-buy-and-sell-stock-ii	algomaster	https://algomaster.io/learn/dsa/best-time-to-buy-and-sell-stock-ii
Medium	Number of Zero-Filled Subarrays	number-of-zero-filled-subarrays	algomaster	https://algomaster.io/learn/dsa/number-of-zero-filled-subarrays
Medium	Increasing Triplet Subsequence	increasing-triplet-subsequence	algomaster	https://algomaster.io/learn/dsa/increasing-triplet-subsequence
Medium	Product of Array Except Self	product-of-array-except-self	algomaster	https://algomaster.io/learn/dsa/product-of-array-except-self
Medium	Next Permutation	next-permutation	algomaster	https://algomaster.io/learn/dsa/next-permutation
Hard	First Missing Positive	first-missing-positive	algomaster	https://algomaster.io/learn/dsa/first-missing-positive
