Subgroup	Difficulty	Title	Slug	Source	Link
Introductory Questions	Easy	Implementation of Priority Queue using Binary Heap		gfg	https://www.geeksforgeeks.org/problems/implementation-of-priority-queue-using-binary-heap/1
Introductory Questions	Medium	Heap Sort		gfg	https://www.geeksforgeeks.org/problems/heap-sort/1
Introductory Questions	Easy	Does Array Represent Heap?		gfg	https://www.geeksforgeeks.org/problems/does-array-represent-heap4345/1
Introductory Questions	Medium	Is Binary Tree Heap?		gfg	https://www.geeksforgeeks.org/problems/is-binary-tree-heap/1
Introductory Questions	Medium	Operations on Binary Min Heap		gfg	https://www.geeksforgeeks.org/problems/operations-on-binary-min-heap/1
Introductory Questions	Medium	Convert Min Heap to Max Heap		gfg	https://www.geeksforgeeks.org/problems/convert-min-heap-to-max-heap-1666385109/1
Implementary Questions	Easy	Relative Ranks	relative-ranks	leetcode	https://leetcode.com/problems/relative-ranks/
Implementary Questions	Easy	Take Gifts From the Richest Pile	take-gifts-from-the-richest-pile	leetcode	https://leetcode.com/problems/take-gifts-from-the-richest-pile/
Implementary Questions	Easy	Last Stone Weight	last-stone-weight	leetcode	https://leetcode.com/problems/last-stone-weight/
Implementary Questions	Easy	Largest Number After Digit Swaps by Parity	largest-number-after-digit-swaps-by-parity	leetcode	https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity/
Implementary Questions	Easy	Minimum Amount of Time to Fill Cups	minimum-amount-of-time-to-fill-cups	leetcode	https://leetcode.com/problems/minimum-amount-of-time-to-fill-cups/
Implementary Questions	Medium	Seat Reservation Manager	seat-reservation-manager	leetcode	https://leetcode.com/problems/seat-reservation-manager/
Implementary Questions	Medium	Sort Characters By Frequency	sort-characters-by-frequency	leetcode	https://leetcode.com/problems/sort-characters-by-frequency/
Implementary Questions	Medium	Reduce Array Size to The Half	reduce-array-size-to-the-half	leetcode	https://leetcode.com/problems/reduce-array-size-to-the-half/
Implementary Questions	Medium	Longest Happy String	longest-happy-string	leetcode	https://leetcode.com/problems/longest-happy-string/
Implementary Questions	Medium	Reorganize String	reorganize-string	leetcode	https://leetcode.com/problems/reorganize-string/
Implementary Questions	Medium	Maximum Average Pass Ratio	maximum-average-pass-ratio	leetcode	https://leetcode.com/problems/maximum-average-pass-ratio/
Implementary Questions	Medium	Find Score of an Array After Marking All Elements	find-score-of-an-array-after-marking-all-elements	leetcode	https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements/
Implementary Questions	Medium	Furthest Building You Can Reach	furthest-building-you-can-reach	leetcode	https://leetcode.com/problems/furthest-building-you-can-reach/
Implementary Questions	Medium	Distant Barcodes	distant-barcodes	leetcode	https://leetcode.com/problems/distant-barcodes/
Implementary Questions	Medium	Task Scheduler	task-scheduler	leetcode	https://leetcode.com/problems/task-scheduler/
Implementary Questions	Medium	Maximal Score After Applying K Operations	maximal-score-after-applying-k-operations	leetcode	https://leetcode.com/problems/maximal-score-after-applying-k-operations/
Implementary Questions	Medium	Single Threaded CPU	single-threaded-cpu	leetcode	https://leetcode.com/problems/single-threaded-cpu/
Implementary Questions	Medium	Most Popular Video Creator	most-popular-video-creator	leetcode	https://leetcode.com/problems/most-popular-video-creator/
Implementary Questions	Medium	Total Cost to Hire K Workers	total-cost-to-hire-k-workers	leetcode	https://leetcode.com/problems/total-cost-to-hire-k-workers/description/
Implementary Questions	Medium	Most Frequent IDs	most-frequent-ids	leetcode	https://leetcode.com/problems/most-frequent-ids/description/
Implementary Questions	Medium	Process Tasks Using Servers	process-tasks-using-servers	leetcode	https://leetcode.com/problems/process-tasks-using-servers/
Implementary Questions	Medium	Maximum Number of Eaten Apples	maximum-number-of-eaten-apples	leetcode	https://leetcode.com/problems/maximum-number-of-eaten-apples/
Implementary Questions	Medium	Maximum Number of Events That Can Be Attended	maximum-number-of-events-that-can-be-attended	leetcode	https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/description/
Implementary Questions	Medium	Minimum Operations to Exceed Threshold Value II	minimum-operations-to-exceed-threshold-value-ii	leetcode	https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii/
Implementary Questions	Hard	Put Marbles in Bags	put-marbles-in-bags	leetcode	https://leetcode.com/problems/put-marbles-in-bags/
Implementary Questions	Hard	Maximum Spending After Buying Items	maximum-spending-after-buying-items	leetcode	https://leetcode.com/problems/maximum-spending-after-buying-items/
Implementary Questions	Hard	Trapping Rain Water II	trapping-rain-water-ii	leetcode	https://leetcode.com/problems/trapping-rain-water-ii/
