Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
minimum-index-of-a-valid-split	2780	Minimum Index of a Valid Split	direct	Array|Hash Table|Sorting	<!-- tabs:start -->	2780_minimum-index-of-a-valid-split.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2780.Minimum%20Index%20of%20a%20Valid%20Split/README_EN.md
find-xor-beauty-of-array	2527	Find Xor-Beauty of Array	direct	Bit Manipulation|Array|Math	Bit Manipulation	2527_find-xor-beauty-of-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2527.Find%20Xor-Beauty%20of%20Array/README_EN.md
count-k-th-roots-in-a-range	3932	Count K-th Roots in a Range	direct		Enumeration	3932_count-k-th-roots-in-a-range.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3932.Count%20K-th%20Roots%20in%20a%20Range/README_EN.md
sort-the-matrix-diagonally	1329	Sort the Matrix Diagonally	direct	Array|Matrix|Sorting	Sorting	1329_sort-the-matrix-diagonally.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1329.Sort%20the%20Matrix%20Diagonally/README_EN.md
minimum-adjacent-swaps-to-alternate-parity	3587	Minimum Adjacent Swaps to Alternate Parity	direct	Greedy|Array	Case Analysis + Greedy	3587_minimum-adjacent-swaps-to-alternate-parity.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3587.Minimum%20Adjacent%20Swaps%20to%20Alternate%20Parity/README_EN.md
most-popular-video-creator	2456	Most Popular Video Creator	direct	Array|Hash Table|String|Sorting|Heap (Priority Queue)	Hash Table	2456_most-popular-video-creator.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2456.Most%20Popular%20Video%20Creator/README_EN.md
longest-palindrome-after-substring-concatenation-i	3503	Longest Palindrome After Substring Concatenation I	direct	Two Pointers|String|Dynamic Programming|Enumeration	Enumerate Palindrome Centers + Dynamic Programming	3503_longest-palindrome-after-substring-concatenation-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3503.Longest%20Palindrome%20After%20Substring%20Concatenation%20I/README_EN.md
maximum-profit-of-operating-a-centennial-wheel	1599	Maximum Profit of Operating a Centennial Wheel	direct	Array|Simulation	Simulation	1599_maximum-profit-of-operating-a-centennial-wheel.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1599.Maximum%20Profit%20of%20Operating%20a%20Centennial%20Wheel/README_EN.md
design-event-manager	3885	Design Event Manager	direct	Design|Array|Hash Table|Ordered Set|Heap (Priority Queue)	Sorted Set	3885_design-event-manager.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3885.Design%20Event%20Manager/README_EN.md
array-of-doubled-pairs	954	Array of Doubled Pairs	direct	Greedy|Array|Hash Table|Sorting	<!-- tabs:start -->	0954_array-of-doubled-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0954.Array%20of%20Doubled%20Pairs/README_EN.md
bold-words-in-string	758	Bold Words in String	direct	Trie|Array|Hash Table|String|String Matching	<!-- tabs:start -->	0758_bold-words-in-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0758.Bold%20Words%20in%20String/README_EN.md
largest-prime-from-consecutive-prime-sum	3770	Largest Prime from Consecutive Prime Sum	direct	Array|Math|Number Theory	Preprocessing + Binary Search	3770_largest-prime-from-consecutive-prime-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3770.Largest%20Prime%20from%20Consecutive%20Prime%20Sum/README_EN.md
maximum-sum-of-almost-unique-subarray	2841	Maximum Sum of Almost Unique Subarray	direct	Array|Hash Table|Sliding Window	Sliding Window + Hash Table	2841_maximum-sum-of-almost-unique-subarray.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2841.Maximum%20Sum%20of%20Almost%20Unique%20Subarray/README_EN.md
find-the-number-of-copy-arrays	3468	Find the Number of Copy Arrays	direct	Array|Math	<!-- tabs:start -->	3468_find-the-number-of-copy-arrays.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3468.Find%20the%20Number%20of%20Copy%20Arrays/README_EN.md
path-in-zigzag-labelled-binary-tree	1104	Path In Zigzag Labelled Binary Tree	direct	Tree|Math|Binary Tree	Mathematics	1104_path-in-zigzag-labelled-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1104.Path%20In%20Zigzag%20Labelled%20Binary%20Tree/README_EN.md
