Rating|ID|Title|Content
2000.8021428612|911|Online Election|
2000.8441804448|1686|Stone Game VI|
2001.2074132383|2328|Number of Increasing Paths in a Grid|
2001.4515854273|2850|Minimum Moves to Spread Stones Over Grid|
2003.5794613668|2092|Find All People With Secret|
2004.5346526204|1927|Sum Game|
2005.2755755378|1761|Minimum Degree of a Connected Trio in a Graph|
2005.3737929084|2448|Minimum Cost to Make Array Equal|
2005.5862669078|1888|Minimum Number of Flips to Make the Binary String Alternating|
2005.6235019774|3811|Number of Alternating XOR Partitions|
2008.2096199603|3524|Find X Value of Array I|
2008.40650791|1223|Dice Roll Simulation|
2009.7322365973|1981|Minimize the Difference Between Target and Chosen Elements|
2010.5524756946|880|Decoded String at Index|
2010.6191768155|3614|Process String with Special Operations II|
2011.0496162515|2333|Minimum Sum of Squared Difference|
2011.3542735398|1102|Path With Maximum Minimum Value|
2011.9703133514|2477|Minimum Fuel Cost to Report to the Capital|
2012.8694334235|3273|Minimum Amount of Damage Dealt to Bob|
2013.4354344791|2472|Maximum Number of Non-overlapping Palindrome Substrings|
2014.2979320644|1105|Filling Bookcase Shelves|
2014.7655493665|1354|Construct Target Array With Multiple Sums|
2015.7291888336|1353|Maximum Number of Events That Can Be Attended|
2016.2085876254|3008|Find Beautiful Indices in the Given Array II|
2018.8785710598|3645|Maximum Total from Optimal Activation Order|
2019.5399647546|909|Snakes and Ladders|
2019.9859462755|2547|Minimum Cost to Split an Array|
2020.1846215023|3027|Find the Number of Ways to Place People II|
2020.6775180586|2517|Maximum Tastiness of Candy Basket|
2020.7095306378|2741|Special Permutations|
2021.7790710467|2271|Maximum White Tiles Covered by a Carpet|
2022.3137128296|2251|Number of Flowers in Full Bloom|
2022.4752963768|1210|Minimum Moves to Reach Target with Rotations|
2022.8520613737|1235|Maximum Profit in Job Scheduling|
2023.4303440211|2597|The Number of Beautiful Subsets|
2024.3797833173|1734|Decode XORed Permutation|
2025.0377429311|751|IP to CIDR|
2025.1529365814|1067|Digit Count in Range|
2026.8452856653|3681|Maximum XOR of Subsequences|
2026.8957817007|1406|Stone Game III|
2027.3839266711|1626|Best Team With No Conflicts|
2027.7304121046|1320|Minimum Distance to Type a Word Using Two Fingers|
2027.8772739639|895|Maximum Frequency Stack|
2028.4660734851|3428|Maximum and Minimum Sums of at Most Size K Subsequences|
2029.1301557536|1231|Divide Chocolate|
2029.4024513478|2772|Apply Operations to Make All Array Elements Equal to Zero|
2030.1021023033|2426|Number of Pairs Satisfying Inequality|
2030.922770301|2919|Minimum Increment Operations to Make Array Beautiful|
2032.4612250461|3864|Minimum Cost to Partition a Binary String|
2032.4773038683|1425|Constrained Subsequence Sum|
2032.797382526|3578|Count Partitions With Max-Min Difference at Most K|
2033.1699277531|2262|Total Appeal of A String|
2033.4597721985|2136|Earliest Possible Day of Full Bloom|
2034.4067304341|828|Count Unique Characters of All Substrings of a Given String|
2034.6759416871|947|Most Stones Removed with Same Row or Column|
2034.9420578559|1335|Minimum Difficulty of a Job Schedule|
2034.9740902393|1140|Stone Game II|
2036.0285748447|3552|Grid Teleportation Traversal|
2036.7206020719|1348|Tweet Counts Per Frequency|
2036.7410194704|2245|Maximum Trailing Zeros in a Cornered Path|
2037.6527962599|2116|Check if a Parentheses String Can Be Valid|
2038.7608654182|3654|Minimum Sum After Divisible Sum Deletions|
2038.8592725467|1590|Make Sum Divisible by P|
2039.110874689|1201|Ugly Number III|
2040.219381217|3366|Minimum Array Sum|
2040.539289037|1371|Find the Longest Substring Containing Vowels in Even Counts|
2040.5621123027|1751|Maximum Number of Events That Can Be Attended II|
2042.0488515965|3872|Longest Arithmetic Sequence After Changing At Most One Element|
2042.1113250604|3494|Find the Minimum Amount of Time to Brew Potions|
2042.4005521254|2551|Put Marbles in Bags|
2043.1015779104|2735|Collecting Chocolates|
2045.9921455749|3331|Find Subtree Sizes After Changes|
2046.2618466463|3113|Find the Number of Subarrays Where Boundary Elements Are Maximum|
2047.3919190727|2948|Make Lexicographically Smallest Array by Swapping Elements|
2048.0976546787|1553|Minimum Number of Days to Eat N Oranges|
2050.2553211463|1648|Sell Diminishing-Valued Colored Balls|
2050.4096030445|3209|Number of Subarrays With AND Value of K|
2050.715977457|1224|Maximum Equal Frequency|
2051.0879431258|1856|Maximum Subarray Min-Product|
2051.519347574|3785|Minimum Swaps to Avoid Forbidden Values|
2052.7953163019|3933|Largest Local Values in a Matrix II|
2052.8622720512|3072|Distribute Elements Into Two Arrays II|
2053.354609292|2467|Most Profitable Path in a Tree|
2053.7468090497|839|Similar String Groups|
2055.0970201875|1575|Count All Possible Routes|
2056.2598215101|2542|Maximum Subsequence Score|
2056.335494216|1473|Paint House III|
2057.4788263111|2197|Replace Non-Coprime Numbers in Array|
2059.4040623264|1131|Maximum of Absolute Value Expression|
2060.0720834082|2508|Add Edges to Make Degrees of All Nodes Even|
2060.0818824378|2681|Power of Heroes|
2060.379991517|2366|Minimum Replacements to Sort the Array|
2062.2592219188|3316|Find Maximum Removals From Source String|
2062.3601158741|2106|Maximum Fruits Harvested After at Most K Steps|
2062.9876807625|2156|Find Substring With Given Hash Value|
2066.0972575597|801|Minimum Swaps To Make Sequences Increasing|
2066.5575759467|3229|Minimum Operations to Make Array Equal to Target|
2067.0643721733|855|Exam Room|
2068.0043466118|1770|Maximum Score from Performing Multiplication Operations|
2068.141720104|3489|Zero Array Transformation IV|
2068.806637566|1368|Minimum Cost to Make at Least One Valid Path in a Grid|
2069.1534510743|3821|Find Nth Smallest Integer With K One Bits|
2069.4030284676|1168|Optimize Water Distribution in a Village|
2069.7848729824|2514|Count Anagrams|
2070.2102619334|1808|Maximize Number of Nice Divisors|
2071.3208991938|2607|Make K-Subarray Sums Equal|
2071.3282145398|3154|Find Number of Ways to Reach the K-th Stair|
2071.6322841217|2866|Beautiful Towers II|
2072.7264178313|1799|Maximize Score After N Operations|
2073.0124645606|1850|Minimum Adjacent Swaps to Reach the Kth Smallest Number|
2073.048019317|2845|Count of Interesting Subarrays|
2073.3665301195|3685|Subsequence Sum After Capping Elements|
2074.3323025363|3782|Last Remaining Integer After Alternating Deletion Operations|
2074.4120526679|871|Minimum Number of Refueling Stops|
2074.8331146269|2906|Construct Product Matrix|
2075.9046975409|2354|Number of Excellent Pairs|
2076.0155978787|2449|Minimum Number of Operations to Make Arrays Similar|
2076.8975497986|1088|Confusing Number II|
2077.4738459704|2959|Number of Possible Sets of Closing Branches|
2077.5054883516|843|Guess the Word|
2078.5417326415|1786|Number of Restricted Paths From First to Last Node|
2078.6986769435|1712|Ways to Split Array Into Three Subarrays|
2079.1911227043|975|Odd Even Jump|
2079.5200791317|3924|Minimum Threshold Path With Limited Heavy Edges|
2079.9846866239|1643|Kth Smallest Instructions|
2080.0425875741|1718|Construct the Lexicographically Largest Valid Sequence|
2080.068446463|3240|Minimum Number of Flips to Make Binary Grid Palindromic II|
2080.7845644831|2555|Maximize Win From Two Segments|
2081.1880297942|2560|House Robber IV|
2081.6909344021|1639|Number of Ways to Form a Target String Given a Dictionary|
2081.698529877|2857|Count Pairs of Points With Distance k|
2081.7120215224|3291|Minimum Number of Valid Strings to Form Target I|
2081.7518764643|1847|Closest Room|
2081.8087755451|1494|Parallel Courses II|
2084.1404698713|2050|Parallel Courses III|
2084.2010769193|774|Minimize Max Distance to Gas Station|
2084.4980206639|2009|Minimum Number of Operations to Make Array Continuous|
2084.5752686737|2267|Check if There Is a Valid Parentheses String Path|
2084.6866916045|1192|Critical Connections in a Network|
2084.9697035674|982|Triples with Bitwise AND Equal To Zero|
2085.3980002157|3855|Sum of K-Digit Numbers in a Range|
2085.8172663766|3351|Sum of Good Subsequences|
2085.9480963454|3624|Number of Integers With Popcount-Depth Equal to K II|
2087.2049275667|1563|Stone Game V|
2089.8733559225|3739|Count Subarrays With Majority Element II|
2090.4183788498|2318|Number of Distinct Roll Sequences|
2090.6800569319|2193|Minimum Number of Moves to Make Palindrome|
2091.3820373571|1383|Maximum Performance of a Team|
2091.6474629767|2751|Robot Collisions|
2091.6580433632|2842|Count K-Subsequences of a String With Maximum Beauty|
2092.0222850837|2412|Minimum Money Required Before Transactions|
2092.4861692502|1049|Last Stone Weight II|
2092.5366031561|2444|Count Subarrays With Fixed Bounds|
2092.8943149547|2402|Meeting Rooms III|
2093.0316157073|3123|Find Edges in Shortest Paths|
2093.9055608233|3434|Maximum Frequency After Subarray Operation|
2094.592426537|1976|Number of Ways to Arrive at Destination|
2095.4590096035|3854|Minimum Operations to Make Array Parity Alternating|
2096.6098086765|899|Orderly Queue|
2096.6201393558|778|Swim in Rising Water|
