Subgroup	Difficulty	Title	Slug	Source	Link
C++ Fundamentals	Theory	Introduction to C++ Programming		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/what-is-cpp/
C++ Fundamentals	Theory	Literals		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/literals-in-cpp/
C++ Fundamentals	Theory	Comments		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/comments-in-cpp/
C++ Fundamentals	Theory	Variables		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/variables-in-cpp/
C++ Fundamentals	Theory	DataTypes in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/data-types-in-cpp/
C++ Fundamentals	Theory	Print Output		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/print-output-in-cpp/
C++ Fundamentals	Theory	Arithmetic Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/operators-in-cpp-part-1/
C++ Fundamentals	Theory	Relational Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/operators-in-cpp-part-2/
C++ Fundamentals	Theory	Logical Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/booleans-in-cpp/
C++ Fundamentals	Theory	Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/if-else-cpp/
C++ Fundamentals	Theory	If-Else Statement | Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/else-if-ladder-cpp/
C++ Fundamentals	Theory	While Loop | Loop in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/while-loop-cpp/
C++ Fundamentals	Theory	For Loop | Loop in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/for-loop-cpp/
C++ Fundamentals	Theory	Factorial and Fibonacci Series		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/loops-standard-problems-cpp/
C++ Fundamentals	Theory	Break & Continue | Jumping Statements in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/break-and-continue-cpp/
C++ Fundamentals	Theory	Switch Statement | Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/switch-statement-cpp/
C++ Fundamentals	Theory	Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/functions-in-cpp/
C++ Fundamentals	Theory	Functions Arguments		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/function-arguments-in-cpp/
C++ Fundamentals	Theory	Return Statement		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/return-statement-cpp/
C++ Fundamentals	Theory	Local Variable		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/local-variable-cpp/
C++ Fundamentals	Theory	Why Do We Use Arguments and Return Type in a Function?		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/why-do-we-use-arguments-and-return-type-in-a-function-cpp/
C++ Fundamentals	Theory	Standard Library Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/standard-library-functions-cpp/
C++ Fundamentals	Theory	Nested Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/nested-functions-cpp/
C++ Fundamentals	Theory	Arrays in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-in-cpp/
C++ Fundamentals	Theory	Iterating and Updating Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/iterating-and-updating-arrays-cpp/
C++ Fundamentals	Theory	Taking Input in Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/taking-input-in-arrays-cpp/
C++ Fundamentals	Theory	Arrays Memory Allocation		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-memory-allocation-cpp/
C++ Fundamentals	Theory	Caveats in C++ Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/caveats-in-cpp-arrays/
C++ Fundamentals	Theory	Quiz: Arrays Theory		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/quiz-arrays-theory-cpp/
C++ Fundamentals	Theory	Ranged For Loops		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/ranged-for-loop-in-cpp/
C++ Fundamentals	Theory	Arrays and Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-and-functions-cpp/
C++ Fundamentals	Theory	Passing Array in Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/passing-array-in-functions-cpp/
C++ Fundamentals	Theory	Vector Basics		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vectors-cpp/
C++ Fundamentals	Theory	Vector Implementation - 1		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vector-implementation-1-cpp/
C++ Fundamentals	Theory	Vector Implementation - 2		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vector-implementation-2-cpp/
C++ Fundamentals	Theory	Quiz: Vectors		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/quiz-vectors-cpp/
C++ Fundamentals	Theory	Multi-dimensional arrays in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/multi-dimensional-arrays-cpp/
C++ Fundamentals	Theory	Strings in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/strings-in-cpp/
C++ Fundamentals	Theory	Taking Input in Strings		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/taking-input-in-strings-cpp/
C++ Fundamentals	Theory	String vs Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/string-vs-arrays-in-cpp/
C++ Fundamentals	Theory	Basic Functions of String		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/basic-functions-of-string-cpp/
Java Fundamentals	Theory	What is Java?		read.learnyard.com	https://read.learnyard.com/java-fundamentals/what-is-java/
Java Fundamentals	Theory	Features of Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/features-of-java/
Java Fundamentals	Theory	Java vs C++		read.learnyard.com	https://read.learnyard.com/java-fundamentals/java-vs-cpp/
Java Fundamentals	Theory	JVM, JRE, and JDK		read.learnyard.com	https://read.learnyard.com/java-fundamentals/jvm-jre-jdk/
Java Fundamentals	Theory	First Program in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/first-program-in-java/
Java Fundamentals	Theory	Comments and Statements		read.learnyard.com	https://read.learnyard.com/java-fundamentals/comments-and-statements-in-java/
Java Fundamentals	Theory	Literals in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/literals-in-java/
Java Fundamentals	Theory	Variables in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/variables-in-java/
Java Fundamentals	Theory	How to Print in Java?		read.learnyard.com	https://read.learnyard.com/java-fundamentals/how-to-print-in-java/
Java Fundamentals	Theory	Data Types in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/datatypes-in-java/
Java Fundamentals	Theory	Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/operators-in-java/
Java Fundamentals	Theory	Arithmetic Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arithmetic-operators-in-java/
Java Fundamentals	Theory	Multiple Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/multiple-operators-in-java/
Java Fundamentals	Theory	Type Conversion in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/type-conversion-in-java/
Java Fundamentals	Theory	User Input in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/user-input-in-java/
Java Fundamentals	Theory	Making Logical Decisions in Programming: Comparing Values and Variables		read.learnyard.com	https://read.learnyard.com/java-fundamentals/making-logical-decisions-in-programming-comparing-values-and-variables-java/
Java Fundamentals	Theory	If-Else Statement in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/if-else-statement-in-java/
Java Fundamentals	Theory	While Loop in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/while-loop-in-java/
Java Fundamentals	Theory	For Loop in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/for-loop-in-java/
Java Fundamentals	Theory	Do-While Loop		read.learnyard.com	https://read.learnyard.com/java-fundamentals/do-while-loop-in-java/
Java Fundamentals	Theory	Standard Practice Problems in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/standard-practice-problems-java/
Java Fundamentals	Theory	Break and Continue in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/break-and-continue-in-java/
Java Fundamentals	Theory	Switch Statement in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/switch-statement-in-java/
Java Fundamentals	Theory	Arrays in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-in-java/
Java Fundamentals	Theory	Types of Array in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/types-of-array-in-java//
Java Fundamentals	Theory	Iterating Through Arrays		read.learnyard.com	https://read.learnyard.com/java-fundamentals/iterating-through-arrays-java/
Java Fundamentals	Theory	Arrays: Practice Problems I		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-i-java/
Java Fundamentals	Theory	Arrays: Practice Problems II		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-ii-java/
Java Fundamentals	Theory	Arrays: Practice Problems III		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-iii-java/
