Difficulty	Title	Slug	Source	Link
	Introduction	binary-search-introduction	algomaster	https://algomaster.io/learn/dsa/binary-search-introduction
Easy	Binary Search	binary-search	algomaster	https://algomaster.io/learn/dsa/binary-search
Easy	First Bad Version	first-bad-version	algomaster	https://algomaster.io/learn/dsa/first-bad-version
Easy	Valid Perfect Square	valid-perfect-square	algomaster	https://algomaster.io/learn/dsa/valid-perfect-square
Easy	Search Insert Position	search-insert-position	algomaster	https://algomaster.io/learn/dsa/search-insert-position
Easy	Guess Number Higher or Lower	guess-number-higher-or-lower	algomaster	https://algomaster.io/learn/dsa/guess-number-higher-or-lower
Easy	Find Smallest Letter Greater Than Target	find-smallest-letter-greater-than-target	algomaster	https://algomaster.io/learn/dsa/find-smallest-letter-greater-than-target
Medium	Find First and Last Position of Element in Sorted Array	find-first-and-last-position-of-element-in-sorted-array	algomaster	https://algomaster.io/learn/dsa/find-first-and-last-position-of-element-in-sorted-array
Medium	Search in Rotated Sorted Array	search-in-rotated-sorted-array	algomaster	https://algomaster.io/learn/dsa/search-in-rotated-sorted-array
Medium	Search in Rotated Sorted Array II	search-in-rotated-sorted-array-ii	algomaster	https://algomaster.io/learn/dsa/search-in-rotated-sorted-array-ii
Medium	Find Minimum in Rotated Sorted Array	find-minimum-in-rotated-sorted-array	algomaster	https://algomaster.io/learn/dsa/find-minimum-in-rotated-sorted-array
Medium	Find Peak Element	find-peak-element	algomaster	https://algomaster.io/learn/dsa/find-peak-element
Hard	Find in Mountain Array	find-in-mountain-array	algomaster	https://algomaster.io/learn/dsa/find-in-mountain-array
Medium	Koko Eating Bananas	koko-eating-bananas	algomaster	https://algomaster.io/learn/dsa/koko-eating-bananas
Medium	Capacity To Ship Packages Within D Days	capacity-to-ship-packages-within-d-days	algomaster	https://algomaster.io/learn/dsa/capacity-to-ship-packages-within-d-days
Medium	Minimum Number of Days to Make m Bouquets	minimum-number-of-days-to-make-m-bouquets	algomaster	https://algomaster.io/learn/dsa/minimum-number-of-days-to-make-m-bouquets
Medium	Magnetic Force Between Two Balls	magnetic-force-between-two-balls	algomaster	https://algomaster.io/learn/dsa/magnetic-force-between-two-balls
Hard	Split Array Largest Sum	split-array-largest-sum	algomaster	https://algomaster.io/learn/dsa/split-array-largest-sum
Medium	Search a 2D Matrix	search-a-2d-matrix	algomaster	https://algomaster.io/learn/dsa/search-a-2d-matrix
Medium	Search a 2D Matrix II	search-a-2d-matrix-ii	algomaster	https://algomaster.io/learn/dsa/search-a-2d-matrix-ii
Medium	Random Pick with Weight	random-pick-with-weight	algomaster	https://algomaster.io/learn/dsa/random-pick-with-weight
Medium	Find K Closest Elements	find-k-closest-elements	algomaster	https://algomaster.io/learn/dsa/find-k-closest-elements
Medium	Heaters	heaters	algomaster	https://algomaster.io/learn/dsa/heaters
Hard	Median of Two Sorted Arrays	median-of-two-sorted-arrays	algomaster	https://algomaster.io/learn/dsa/median-of-two-sorted-arrays
Hard	Find K-th Smallest Pair Distance	find-k-th-smallest-pair-distance	algomaster	https://algomaster.io/learn/dsa/find-k-th-smallest-pair-distance
