Subgroup	Difficulty	Title	Slug	Source	Link
Traversals	Easy	Binary Tree Preorder Traversal	binary-tree-preorder-traversal	leetcode	https://leetcode.com/problems/binary-tree-preorder-traversal/
Traversals	Easy	Binary Tree Inorder Traversal	binary-tree-inorder-traversal	leetcode	https://leetcode.com/problems/binary-tree-inorder-traversal/
Traversals	Easy	Binary Tree Postorder Traversal	binary-tree-postorder-traversal	leetcode	https://leetcode.com/problems/binary-tree-postorder-traversal/
Traversals	Easy	Preorder, Postorder, Inorder in a Single Traversal		gfg	https://www.geeksforgeeks.org/preorder-postorder-and-inorder-traversal-of-a-binary-tree-using-a-single-stack/
Properties of trees	Easy	Remove Half Nodes		gfg	https://www.geeksforgeeks.org/problems/remove-half-nodes/1
Properties of trees	Easy	Balanced Binary Tree	balanced-binary-tree	leetcode	https://leetcode.com/problems/balanced-binary-tree/description/
Properties of trees	Easy	Maximum Depth of Binary Tree	maximum-depth-of-binary-tree	leetcode	https://leetcode.com/problems/maximum-depth-of-binary-tree/description/
Properties of trees	Easy	Diameter of Binary Tree	diameter-of-binary-tree	leetcode	https://leetcode.com/problems/diameter-of-binary-tree/description/
Properties of trees	Easy	Count Complete Tree Nodes	count-complete-tree-nodes	leetcode	https://leetcode.com/problems/count-complete-tree-nodes/description/
Properties of trees	Easy	Minimum Depth of Binary Tree	minimum-depth-of-binary-tree	leetcode	https://leetcode.com/problems/minimum-depth-of-binary-tree/
Properties of trees	Medium	Check Completeness of a Binary Tree	check-completeness-of-a-binary-tree	leetcode	https://leetcode.com/problems/check-completeness-of-a-binary-tree/
Construction of Tree	Medium	Construct Binary Tree from Parent Array		gfg	https://www.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1
Construction of Tree	Medium	Linked List to Binary Tree		gfg	https://www.geeksforgeeks.org/problems/make-binary-tree/1
Construction of Tree	Medium	Construct Binary Tree from Preorder and Inorder Traversal	construct-binary-tree-from-preorder-and-inorder-traversal	leetcode	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Construction of Tree	Medium	Construct Binary Tree from Inorder and Postorder Traversal	construct-binary-tree-from-inorder-and-postorder-traversal	leetcode	https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/
Construction of Tree	Medium	Construct Binary Tree from Preorder and Postorder Traversal	construct-binary-tree-from-preorder-and-postorder-traversal	leetcode	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/
Construction of Tree	Medium	Construct Binary Tree from String with Bracket Representation		gfg	https://www.geeksforgeeks.org/construct-binary-tree-string-bracket-representation/
Two tree Validation	Easy	Same Tree	same-tree	leetcode	https://leetcode.com/problems/same-tree/
Two tree Validation	Easy	Two Mirror Trees		gfg	https://www.geeksforgeeks.org/problems/two-mirror-trees/1
Two tree Validation	Easy	Merge Two Binary Trees	merge-two-binary-trees	leetcode	https://leetcode.com/problems/merge-two-binary-trees/
Two tree Validation	Easy	Subtree of Another Tree	subtree-of-another-tree	leetcode	https://leetcode.com/problems/subtree-of-another-tree/
